"Meet your droid!","Meet your droid!"
"Droid: ","Droid: "
"Active missions: %1","Active missions: %1"
"Change Droid Name","Change Droid Name"
"Add Mission","Add Mission"
"No active missions.","No active missions."
"Last action: %1","Last action: %1"
"name changed to %1","name changed to %1"
"mission %1 added","mission %1 added"
"mission %1 removed","mission %1 removed"
"Mission #%1: stand by","Mission #%1: stand by"
"Deliver message to Obi-Wan","Deliver message to Obi-Wan"
"Repair hyperdrive","Repair hyperdrive"
"Beep at the right moment","Beep at the right moment"
"Like Counter initialized with %1 likes","Like Counter initialized with %1 likes"
"Thank you! Total likes: %1","Thank you! Total likes: %1"
"Like Counter destroyed","Like Counter destroyed"
