"Meet your droid!","Знайомтесь — ваш дроїд!"
"Droid: ","Дроїд: "
"Active missions: %1","Активних місій: %1"
"Change Droid Name","Змінити ім'я дроїда"
"Add Mission","Додати місію"
"No active missions.","Немає активних місій."
"Last action: %1","Остання дія: %1"
"name changed to %1","ім'я змінено на %1"
"mission %1 added","місію %1 додано"
"mission %1 removed","місію %1 видалено"
"Mission #%1: stand by","Місія №%1: очікування"
"Deliver message to Obi-Wan","Доставити повідомлення Обі-Вану"
"Repair hyperdrive","Полагодити гіпердвигун"
"Beep at the right moment","Бікнути вчасно"
"Like Counter initialized with %1 likes","Лічильник лайків запущено: %1"
"Thank you! Total likes: %1","Дякуємо! Всього лайків: %1"
"Like Counter destroyed","Лічильник лайків видалено"
"[Mixin demo] Collapsible opened: ","[Mixin demo] Акордеон відкрито: "
"[Mixin demo] Collapsible closed","[Mixin demo] Акордеон закрито"
